seq.name,gene_symbol
ENST00000219406.10,PDIA2
ENST00000219409.8,ARHGDIG
ENST00000219431.4,MPG
ENST00000219439.9,HSDL1
ENST00000219473.11,USP10
ENST00000219476.9,TSC2
ENST00000219478.11,ZNF500
ENST00000219479.7,NME4
ENST00000219481.10,DECR2
ENST00000219548.9,STUB1
ENST00000219596.5,MEFV
ENST00000219599.8,CRYM
ENST00000219611.7,CAPN15
ENST00000219660.6,AQP8
ENST00000219689.11,USP31
ENST00000219746.14,TOX3
ENST00000219782.10,MAZ
ENST00000219789.11,CDIPT
ENST00000219821.9,TMC5
ENST00000219837.12,KNOP1
ENST00000219905.11,MGA
ENST00000220003.13,CSK
ENST00000220058.9,MTFMT
ENST00000220062.9,RASL12
ENST00000220166.9,CTSH
ENST00000220244.7,CEMIP
ENST00000220325.9,EHD4
ENST00000220420.10,TGM5
ENST00000220478.8,SCG3
ENST00000220496.9,DNAJC17
ENST00000220507.5,RHOV
ENST00000220509.10,VPS18
ENST00000220514.8,OIP5
ENST00000220531.8,BLOC1S6
ENST00000220562.9,EXTL3
ENST00000220592.10,AGO2
ENST00000220597.4,PAG1
ENST00000220616.9,TG
ENST00000220659.11,BRF2
ENST00000220669.10,ZFAND1
ENST00000220751.5,RIPK2
ENST00000220763.10,CPQ
ENST00000220764.7,DECR1
ENST00000220772.8,SFRP1
ENST00000220809.9,PLAT
ENST00000220812.3,DKK4
ENST00000220822.12,GDAP1
ENST00000220853.8,EMC2
ENST00000220876.11,STMN2
ENST00000220913.10,CHRAC1
ENST00000220940.2,GML
ENST00000220966.10,PYCR3
ENST00000221086.8,MTMR9
ENST00000221114.8,DCTN6
ENST00000221130.11,GSR
ENST00000221132.8,TNFRSF10A
ENST00000221138.9,PPP2CB
ENST00000221166.10,NEFM
ENST00000221200.9,KCTD9
ENST00000221232.11,CNOT3
ENST00000221233.9,EXOSC5
ENST00000221249.10,PNPLA6
ENST00000221265.8,PAF1
ENST00000221283.10,STXBP2
ENST00000221307.13,CYP4F3
ENST00000221315.10,ZNF432
ENST00000221327.8,ZNF180
ENST00000221399.8,TULP2
ENST00000221403.7,DHDH
ENST00000221418.9,ECH1
ENST00000221419.9,HNRNPL
ENST00000221431.10,SARS2
ENST00000221444.1,KCNA7
ENST00000221452.13,RELB
ENST00000221455.8,CLASRP
ENST00000221459.7,LIN7B
ENST00000221462.9,PPP1R37
ENST00000221466.10,FCGRT
ENST00000221476.4,CKM
ENST00000221480.6,PEX11G
ENST00000221485.8,SLC17A7
ENST00000221486.5,RNASEH2A
ENST00000221494.10,SF3A2
ENST00000221496.5,AMH
ENST00000221498.7,DKKL1
ENST00000221515.6,RETN
ENST00000221538.8,RSPH6A
ENST00000221543.10,TBC1D17
ENST00000221566.7,SGTA
ENST00000221573.11,SNAPC2
ENST00000221665.5,FIZ1
ENST00000221671.8,C19orf44
ENST00000221700.11,CYP4F2
ENST00000221742.7,SLC1A6
ENST00000221797.5,LGALS13
ENST00000221801.8,FBL
ENST00000221804.5,CLC
ENST00000221847.6,EBI3
ENST00000221855.8,TBCB
ENST00000221856.11,FSD1
ENST00000221859.9,POLR2I
ENST00000221891.8,APLP1
ENST00000221922.11,CCDC9
ENST00000221930.6,TGFB1
ENST00000221943.13,DMAC2
ENST00000221954.6,CEACAM4
ENST00000221957.9,PLIN3
ENST00000221972.7,CD79A
ENST00000221973.7,LIM2
ENST00000221978.10,NKG7
ENST00000221980.5,ICAM5
ENST00000221992.10,CEACAM5
ENST00000222002.4,SULT2A1
ENST00000222005.7,CDC37
ENST00000222008.11,RABAC1
ENST00000222032.10,CNFN
ENST00000222033.6,ZNRF4
ENST00000222115.5,HAS1
ENST00000222122.10,DBP
ENST00000222139.11,EPOR
ENST00000222145.9,RASIP1
ENST00000222214.10,GCDH
ENST00000222219.8,DNASE2
ENST00000222224.4,LENG1
ENST00000222247.10,RPL18A
ENST00000222248.4,SLC5A5
ENST00000222249.13,KCNN1
ENST00000222250.5,ARRDC2
ENST00000222254.13,PIK3R2
ENST00000222256.9,RAB3A
ENST00000222271.7,COMP
ENST00000222284.10,TMEM147
ENST00000222286.9,GAPDHS
ENST00000222305.8,USF2
ENST00000222329.9,ERF
ENST00000222330.8,GSK3A
ENST00000222345.11,SIPA1L3
ENST00000222374.3,CADM4
ENST00000222381.8,PON1
ENST00000222390.11,HGF
ENST00000222399.11,LAMB1
ENST00000222402.8,UBE2D4
ENST00000222462.3,WNT16
ENST00000222481.9,CPA2
ENST00000222482.10,CPA4
ENST00000222511.10,GTPBP10
ENST00000222543.11,TFPI2
ENST00000222547.8,BET1
ENST00000222553.8,NAMPT
ENST00000222567.6,TWISTNB
ENST00000222573.5,ITGB8
ENST00000222584.8,SP4
ENST00000222644.9,MPP6
ENST00000222673.6,OGDH
ENST00000222674.2,NPVF
ENST00000222693.5,CAV2
ENST00000222718.7,HOXA2
ENST00000222725.10,LFNG
ENST00000222726.4,HOXA5
ENST00000222728.3,HOXA6
ENST00000222747.8,TSPAN12
ENST00000222792.10,CHN2
ENST00000222800.7,ABHD11
ENST00000222803.9,FKBP14
ENST00000222812.8,STX1A
ENST00000222823.9,NOD1
ENST00000222982.8,CYP3A5
ENST00000222990.8,SNX8
ENST00000223023.5,WASL
ENST00000223026.9,HYAL4
ENST00000223029.8,AIMP2
ENST00000223054.8,MOSPD3
ENST00000223061.6,PCOLCE
ENST00000223073.6,RBM28
ENST00000223095.4,SERPINE1
ENST00000223114.9,MOGAT3
ENST00000223127.8,PLOD3
ENST00000223129.8,RPA3
ENST00000223136.5,FIS1
ENST00000223145.10,GLCCI1
ENST00000223208.10,CEP41
ENST00000223210.5,ZNF862
ENST00000223215.10,MEST
ENST00000223271.8,RARRES2
ENST00000223273.7,YAE1
ENST00000223293.10,GIMAP2
ENST00000223321.9,PSMA2
ENST00000223324.3,MRPL32
ENST00000223336.10,COA1
ENST00000223357.8,AEBP1
ENST00000223364.7,MYL7
ENST00000223368.7,BCL7B
ENST00000223369.3,YKT6
ENST00000223398.10,CLIP2
ENST00000223459.10,ZNF688
ENST00000223500.9,CHMP5
ENST00000223528.6,FKTN
ENST00000223641.5,SEC61B
ENST00000223642.2,C5
ENST00000223795.2,TNFSF8
ENST00000223862.2,RLN1
ENST00000223864.7,PLGRKT
ENST00000224073.6,EDF1
ENST00000224140.6,SETX
ENST00000224337.9,BLNK
ENST00000224356.5,CYP26A1
ENST00000224652.10,ATE1
ENST00000224721.12,CDH23
ENST00000224756.12,CCSER2
ENST00000224784.10,ACTA2
ENST00000224862.7,FBXL15
ENST00000224950.8,STN1
ENST00000225171.7,DNAJC12
ENST00000225174.8,PPIF
ENST00000225235.5,TBC1D12
ENST00000225275.4,MPO
ENST00000225276.10,ST6GALNAC2
ENST00000225296.8,DHX33
ENST00000225298.12,UTP18
ENST00000225308.12,SLC25A39
ENST00000225328.10,P2RX5
ENST00000225371.6,EPX
ENST00000225387.7,CRYBA1
ENST00000225388.9,NUFIP2
ENST00000225394.7,GIT1
ENST00000225430.9,RPL19
ENST00000225474.6,CSF3
ENST00000225504.8,SUPT4H1
ENST00000225512.6,WNT3
ENST00000225519.4,SHPK
ENST00000225525.4,TAX1BP3
ENST00000225538.4,P2RX1
ENST00000225550.4,KRT37
ENST00000225577.9,RPS6KB1
ENST00000225603.9,CBX1
ENST00000225609.10,PIGL
ENST00000225614.6,GALK1
ENST00000225655.5,PFN1
ENST00000225665.12,SLC25A11
ENST00000225688.4,RASD1
ENST00000225698.8,C1QBP
ENST00000225719.9,CPD
ENST00000225724.9,GOSR1
ENST00000225726.10,CCDC47
ENST00000225728.8,MED31
ENST00000225729.8,DRG2
ENST00000225737.11,AKAP10
ENST00000225777.7,SYNGR2
ENST00000225792.10,DDX5
ENST00000225823.6,ASIC2
ENST00000225831.4,CCL2
ENST00000225842.4,CCL1
ENST00000225844.7,CCL13
ENST00000225899.3,KRT32
ENST00000225916.10,KAT2A
ENST00000225927.7,NAGLU
ENST00000225941.6,ABI3
ENST00000225964.9,COL1A1
ENST00000225969.9,MRPL27
ENST00000225972.8,LRRC59
ENST00000225983.10,HDAC5
ENST00000225992.7,PPY
ENST00000226004.8,DUSP3
ENST00000226021.5,CACNG1
ENST00000226067.10,HLF
ENST00000226091.3,EFNB3
ENST00000226105.11,RANGRF
ENST00000226193.6,RCVRN
ENST00000226207.6,MYH1
ENST00000226218.9,VTN
