celltype,p,coefs,ctd_level,branch,fdr
Fetus_Fetal_mesenchymal_progenitor,0.0218,0.000887796758534279,3,Homo-Pan,0.078485549132948
Fetus_Stromal_cell,0.0218,0.000754906723359773,3,Primate,0.078485549132948
Fetus_Astrocyte,0.0219,0.0019563541726683,3,Primate,0.078485549132948
Adult_Monocyte,0.0224,-0.000823776492353443,3,Homo-Pan,0.079816091954023
Fetus_T_cell,0.023,-0.00104194991239772,3,Homo-Pan,0.0810227272727273
Adult_Enterocyte,0.023,-0.00148732070224204,3,Haplorhine,0.0810227272727273
Fetus_Antigen_presenting_cell_(RPS_high),0.0232,-0.000420557974378938,3,Primate,0.0812655367231638
Fetus_Epithelial_cell,0.0234,-0.00176935543888288,3,Haplorhine,0.0815056179775281
Adult_Mesothelial_cell,0.0248,0.00133031618758353,3,Great Ape,0.0858994413407821
Adult_Ventricle_cardiomyocyte,0.025,-0.00223414678275897,3,Homo-Pan,0.0861111111111111
Fetus_Smooth_muscle_cell,0.0253,0.000876312654593779,3,Homo-Pan,0.0866629834254144
Fetus_Astrocyte,0.0255,0.00227669907375871,3,Great Ape,0.0868681318681319
Fetus_Astrocyte,0.0262,0.00186583140873565,3,Human,0.0887650273224044
Fetus_Erythroid_progenitor_cell_(RP_high),0.0266,-0.000541016624384131,3,Homo-Pan,0.0896304347826087
Fetus_Smooth_muscle_cell,0.0273,0.000764358699137192,3,Great Ape,0.0914918918918919
Fetus_Neutrophil_(RPS_high),0.0276,-0.000680209823903827,3,Homo-Pan,0.092
Adult_hESC,0.0278,-0.00140456566592145,3,Great Ape,0.0921711229946524
Adult_Endothelial_cell,0.028,0.000921539740990653,3,Great Ape,0.0921884816753927
Fetus_Fetal_epithelial_progenitor,0.0282,0.000676727983462374,3,Primate,0.0921884816753927
Fetus_Fetal_acinar_cell,0.0283,0.00115285656349928,3,Homo-Pan,0.0921884816753927
Adult_Proximal_tubule_progenitor,0.0284,0.00196680871190666,3,Great Ape,0.0921884816753927
Adult_Fetal_stromal_cell,0.0288,0.00101215399176953,3,Haplorhine,0.093
Adult_Endothelial_cell,0.03,0.000766628460546478,3,Human,0.0963730569948186
Adult_Sinusoidal_endothelial_cell,0.0308,-0.00182328999493266,3,Homo-Pan,0.0984329896907217
Fetus_Fetal_endocrine_cell,0.0326,0.00150501798928084,3,Haplorhine,0.103438775510204
Fetus_Kidney_intercalated_cell,0.0327,0.000871208296025758,3,Haplorhine,0.103438775510204
Adult_Kidney_intercalated_cell,0.0356,0.00129780205280855,3,Human,0.112040609137056
Fetus_Immature_sertoli_cell_(Pre_Sertoli_cell),0.0364,0.00210445474572277,3,Homo-Pan,0.113407035175879
HESC_Proliferating_T_cell,0.0364,-0.0016237496079323,3,Great Ape,0.113407035175879
Adult_Proliferating_T_cell,0.0375,-0.00105936384382561,3,Haplorhine,0.11625
Fetus_Endothelial_cell_(endothelial_to_mesenchymal_transition),0.0382,0.00097148959152342,3,Human,0.117554455445545
Fetus_Fetal_epithelial_progenitor,0.0383,0.000713747404395549,3,Haplorhine,0.117554455445545
Fetus_Stratified_epithelial_cell,0.0386,-0.00118709133336249,3,Human,0.117891625615764
Fetus_B_cell_(Plasmocyte),0.0393,-0.000869401825990896,3,Haplorhine,0.119441176470588
Fetus_Fetal_endocrine_cell,0.0408,0.00132668834408345,3,Primate,0.12339512195122
Adult_Erythroid_progenitor_cell_(RP_high),0.0413,-0.000550692111975354,3,Great Ape,0.124300970873786
Adult_Fetal_endocrine_cell,0.0443,0.001491826443055,3,Haplorhine,0.132685990338164
Fetus_Proliferating_T_cell,0.0446,-0.00159527122501612,3,Homo-Pan,0.132942307692308
Fetus_Dendritic_cell,0.0449,-0.00049599912156813,3,Great Ape,0.133196172248804
Adult_Fetal_fibroblast,0.0462,0.000996280025202814,3,Great Ape,0.1364
Adult_Primordial_germ_cell,0.0466,-0.00098784112725116,3,Primate,0.136575471698113
Fetus_Endothelial_cell_(APC),0.0467,0.000734232606615902,3,Human,0.136575471698113
Fetus_Hepatocyte_Endodermal_cell,0.0472,-0.000869625919501464,3,Human,0.137389671361502
Fetus_Proximal_tubule_progenitor,0.0497,0.00139272863927202,3,Homo-Pan,0.142857142857143
Adult_Enterocyte,0.0497,-0.00140879761492511,3,Great Ape,0.142857142857143
Adult_CB_CD34+,0.0498,-0.000800109382283395,3,Human,0.142857142857143
Fetus_Hepatocyte_Endodermal_cell,0.05,-0.00087176932691073,3,Primate,0.142857142857143
Fetus_Proliferating_T_cell,0.0504,-0.00117529319640371,3,Primate,0.143339449541284
Fetus_Neutrophil,0.0509,-0.000601515106182072,3,Primate,0.144100456621005
Fetus_Kidney_intercalated_cell,0.0514,0.000858483703033079,3,Great Ape,0.144854545454545
Adult_Endothelial_cell_(endothelial_to_mesenchymal_transition),0.0529,0.000733315717008574,3,Haplorhine,0.148407239819005
Fetus_B_cell,0.0552,-0.000698036274633687,3,Great Ape,0.153912280701754
Fetus_Erythroid_progenitor_cell_(RP_high),0.0555,-0.000413671390243971,3,Great Ape,0.153912280701754
Fetus_Antigen_presenting_cell_(RPS_high),0.0558,-0.000476441062503907,3,Homo-Pan,0.153912280701754
Fetus_Proliferating_T_cell,0.0561,-0.00124417115979367,3,Haplorhine,0.153912280701754
Fetus_Erythroid_cell,0.0563,-0.000595617230533159,3,Human,0.153912280701754
Fetus_Dendritic_cell,0.0564,-0.000430855409270344,3,Haplorhine,0.153912280701754
Adult_Epithelial_cell,0.0566,-0.00121459894620309,3,Haplorhine,0.153912280701754
Fetus_Erythroid_cell,0.0569,-0.000709263955372926,3,Great Ape,0.154052401746725
Adult_Antigen_presenting_cell_(RPS_high),0.0579,-0.00059232567875098,3,Haplorhine,0.156078260869565
Adult_Fetal_mesenchymal_progenitor,0.0588,0.00115197366774106,3,Homo-Pan,0.157818181818182
Adult_Fetal_epithelial_progenitor,0.0592,-0.00159348770938136,3,Primate,0.158206896551724
Fetus_M2_Macrophage,0.0608,-0.000677947111908284,3,Human,0.161785407725322
Adult_Antigen_presenting_cell_(RPS_high),0.0614,-0.000724508593251258,3,Homo-Pan,0.162683760683761
Adult_Proximal_tubule_progenitor,0.0624,0.00152850708820021,3,Haplorhine,0.164629787234043
Fetus_Fetal_fibroblast,0.0629,0.000708325027502189,3,Primate,0.165245762711864
Fetus_Fetal_chondrocyte,0.0636,0.000977822593204878,3,Great Ape,0.166379746835443
Fetus_Neutrophil_(RPS_high),0.0643,-0.000498074036183008,3,Great Ape,0.167322175732218
HESC_Primordial_germ_cell,0.0645,-0.000946068322503003,3,Great Ape,0.167322175732218
Adult_Sinusoidal_endothelial_cell,0.0649,-0.00113491130615242,3,Human,0.167658333333333
Fetus_Proximal_tubule_progenitor,0.0657,0.000966698108695518,3,Primate,0.169020746887967
Adult_Neutrophil_(RPS_high),0.0667,-0.000647318148443431,3,Great Ape,0.170181069958848
Fetus_Fetal_fibroblast,0.0667,0.000834053671107598,3,Great Ape,0.170181069958848
Adult_Thyroid_follicular_cell,0.0706,-0.000995923622860375,3,Human,0.178439024390244
Adult_Macrophage,0.0707,-0.000783918742351953,3,Homo-Pan,0.178439024390244
Fetus_T_cell,0.0708,0.000627396159426474,3,Primate,0.178439024390244
Adult_hESC,0.0745,-0.000962909509515,3,Primate,0.186746987951807
Adult_Endothelial_cell,0.0747,0.000842225416161904,3,Homo-Pan,0.186746987951807
Fetus_Neutrophil_(RPS_high),0.075,-0.000433092338012769,3,Haplorhine,0.186746987951807
Fetus_Mast_cell,0.0781,-0.000853535396811823,3,Haplorhine,0.193688
Fetus_Erythroid_cell,0.0797,-0.000731381483829031,3,Homo-Pan,0.195031496062992
Fetus_Proliferating_T_cell,0.0797,-0.00126653183846482,3,Great Ape,0.195031496062992
Adult_Smooth_muscle_cell,0.0798,0.000839801187026636,3,Primate,0.195031496062992
Fetus_Myeloid_cell,0.0799,0.000761458009162339,3,Primate,0.195031496062992
Adult_CB_CD34+,0.0809,-0.000970710249421531,3,Homo-Pan,0.196698039215686
Fetus_Neutrophil,0.0821,-0.0007137262689354,3,Homo-Pan,0.1988359375
Adult_Proliferating_T_cell,0.0834,-0.000805259379833587,3,Primate,0.201198443579767
Adult_Mast_cell,0.0847,0.000895868101750845,3,Homo-Pan,0.202756756756757
Adult_Fetal_acinar_cell,0.0847,0.00106686733534961,3,Primate,0.202756756756757
Adult_Dendritic_cell,0.0884,-0.000547310427765345,3,Haplorhine,0.2108
Adult_Proximal_tubule_progenitor,0.0912,0.00171181203086859,3,Homo-Pan,0.21664367816092
Adult_Smooth_muscle_cell,0.093,0.000961670139970883,3,Great Ape,0.220076335877863
Adult_Chondrocyte,0.0944,0.00105504764058127,3,Homo-Pan,0.222539923954373
Adult_Erythroid_progenitor_cell_(RP_high),0.1001,-0.000490285424497297,3,Homo-Pan,0.235083333333333
